"","ll_name","cell.number.location","cell.num"
"1","A01","1_C03",1
"2","A02","1_C02",1
"3","A03","0_C01",0
"4","A04","1_C49",1
"5","A05","1_C50",1
"6","A06","1_C51",1
"7","A07","1_C06",1
"8","A08","2_C05",2
"9","A09","1_C04",1
"10","A10","1_C52",1
"11","A11","1_C53",1
"12","A12","1_C54",1
"13","B01","1_C09",1
"14","B02","1_C08",1
"15","B03","1_C07",1
"16","B04","1_C55",1
"17","B05","0_C56",0
"18","B06","1_C57",1
"19","B07","2_C12",2
"20","B08","0_C11",0
"21","B09","1_C10",1
"22","B10","1_C58",1
"23","B11","1_C59",1
"24","B12","1_C60",1
"25","C01","1_C15",1
"26","C02","1_C14",1
"27","C03","1_C13",1
"28","C04","1_C61",1
"29","C05","1_C62",1
"30","C06","1_C63",1
"31","C07","1_C18",1
"32","C08","1_C17",1
"33","C09","1_C16",1
"34","C10","1_C64",1
"35","C11","1_C65",1
"36","C12","1_C66",1
"37","D01","1_C21",1
"38","D02","1_C20",1
"39","D03","1_C19",1
"40","D04","1_C67",1
"41","D05","1_C68",1
"42","D06","1_C69",1
"43","D07","1_C24",1
"44","D08","1_C23",1
"45","D09","1_C22",1
"46","D10","1_C70",1
"47","D11","1_C71",1
"48","D12","1_C72",1
"49","E01","1_C25",1
"50","E02","1_C26",1
"51","E03","1_C27",1
"52","E04","1_C75",1
"53","E05","1_C74",1
"54","E06","1_C73",1
"55","E07","1_C28",1
"56","E08","1_C29",1
"57","E09","1_C30",1
"58","E10","0_C78",0
"59","E11","1_C77",1
"60","E12","1_C76",1
"61","F01","1_C31",1
"62","F02","1_C32",1
"63","F03","1_C33",1
"64","F04","1_C81",1
"65","F05","1_C80",1
"66","F06","1_C79",1
"67","F07","1_C34",1
"68","F08","1_C35",1
"69","F09","1_C36",1
"70","F10","1_C84",1
"71","F11","1_C83",1
"72","F12","1_C82",1
"73","G01","1_C37",1
"74","G02","0_C38",0
"75","G03","0_C39",0
"76","G04","1_C87",1
"77","G05","1_C86",1
"78","G06","1_C85",1
"79","G07","1_C40",1
"80","G08","1_C41",1
"81","G09","1_C42",1
"82","G10","1_C90",1
"83","G11","1_C89",1
"84","G12","1_C88",1
"85","H01","1_C43",1
"86","H02","1_C44",1
"87","H03","1_C45",1
"88","H04","1_C93",1
"89","H05","2_C92",2
"90","H06","1_C91",1
"91","H07","0_C46",0
"92","H08","1_C47",1
"93","H09","1_C48",1
"94","H10","2_C96",2
"95","H11","1_C95",1
"96","H12","0_C94",0
